PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
28390807,2017,Valerie Jones Taylor,Spelman College,Atlanta,Georgia,United States,33.7451954,-84.4114376
28390807,2017,Gerald D. Higginbotham,"University of California, Los Angeles",Los Angeles,California,United States,34.0699182,-118.4438495
28390807,2017,Kyshia Henderson,"University of California, Los Angeles",Los Angeles,California,United States,34.0699182,-118.4438495
74818348,2017,Max Lawson,,,,,,
74818348,2017,Matthew J. Martin,,,,,,
30122210,2017,Fred Glover,University of Colorado Boulder,Boulder,Colorado,United States,40.0073499,-105.2659871
30122210,2017,Mark A. Lewis,Missouri Western State University,Saint Joseph,Missouri,United States,39.7596804,-94.7844794
30122210,2017,Gary Kochenberger,University of Colorado Denver,Denver,Colorado,United States,39.7463596,-105.002342
63546027,2017,Pia Vivian Pedersen,University of Southern Denmark,Odense,,Denmark,55.3689827,10.4282364
63546027,2017,Ulf Hjelmar,Regionshospitalet Silkeborg,Silkeborg,,Denmark,56.1700068,9.5593183
63546027,2017,Mette Terp Høybye,University of Southern Denmark,Odense,,Denmark,55.3689827,10.4282364
31566573,2017,A. Susana Ramírez,"University of California, Merced",Merced,California,United States,37.3647026,-120.4240941
31566573,2017,Erendira Estrada,"University of California, Merced",Merced,California,United States,37.3647026,-120.4240941
31566573,2017,Ariana Ruiz,"University of California, Merced",Merced,California,United States,37.3647026,-120.4240941
31435480,2017,Élodie Guillaume,Inserm,,,,,
31435480,2017,Olivier Dejardin,Inserm,,,,,
31435480,2017,Véronique Bouvier,Université de Caen Normandie,Caen,Normandie,France,49.192806,-0.363926
31435480,2017,Rémy De Mil,Inserm,,,,,
31435480,2017,Célia Berchi,Université de Caen Normandie,Caen,Normandie,France,49.192806,-0.363926
31435480,2017,Carole Pornet,Inserm,,,,,
31435480,2017,Véronique Christophe,Université de Caen Normandie,Caen,Normandie,France,49.192806,-0.363926
31435480,2017,Annick Notari,Inserm,,,,,
31435480,2017,Hélène Delattre Massy,Inserm,,,,,
31435480,2017,Chantal De Seze,Université de Caen Normandie,Caen,Normandie,France,49.192806,-0.363926
31435480,2017,Jérôme Peng,Inserm,,,,,
31435480,2017,Lydia Guittet,Université de Lille,Lille,Hauts-de-France,France,50.6316943,3.0751881
31435480,2017,Guy Launoy,Centre National de la Recherche Scientifique,Paris,Île-de-France,France,48.8476037,2.2639934
47572839,2017,Stephanie Sardelis,Columbia University,New York,New York,United States,40.8075355,-73.9625727
47572839,2017,Samantha Oester,George Mason University,Fairfax,Virginia,United States,38.8314094,-77.31115299999999
47572839,2017,Max Liboiron,Memorial University of Newfoundland,,Newfoundland and Labrador,Canada,54.2730918,-61.7387586
62000564,2017,Lori L. Taylor,Texas A&M University,College Station,Texas,United States,30.6187055,-96.3364682
62000564,2017,Molly I. Beck,Arkansas Department of Education,Little Rock,Arkansas,United States,34.7463246,-92.2909796
62000564,2017,Joanna Lahey,Texas A&M University,College Station,Texas,United States,30.6187055,-96.3364682
62000564,2017,Jeffrey E. Froyd,Texas A&M University,College Station,Texas,United States,30.6187055,-96.3364682
90069169,2017,Madhu Gupta,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,India,30.7649984,76.7755589
90069169,2017,Hans Bosma,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801
90069169,2017,Federica Angeli,Maastricht University,Maastricht,Limburg,Netherlands,50.8469602,5.6879801
