PMID,Year,Author,Institution,City,Region,State,Latitude,Longitude
41150488,2019,Pinar Gökcin Özuyar,Universidade de Passo Fundo,,Rio Grande do Sul,Brazil,-28.234493,-52.38044
41150488,2019,Tony Wall,Istinye University,,İstanbul,Türkiye,41.014689,28.9054296
22215249,2019,Elvira Ismagiloiva,University of Bradford,Bradford,England,United Kingdom,53.7914677,-1.766069
22215249,2019,Laurie Hughes,Swansea University,,,,,
22215249,2019,Nripendra P. Rana,Swansea University,,,,,
22215249,2019,Yogesh K. Dwivedi,Swansea University,,,,,
12643205,2019,Filipa Pinto da Silva,Polytechnic Institute of Porto,Porto,Porto,Portugal,41.1791919,-8.5977523
12643205,2019,Filipa Brandão,University of Aveiro,Aveiro,Aveiro,Portugal,40.6305791,-8.6574621
12643205,2019,Bruno Sousa,Polytechnic Institute of Cávado and Ave,Barcelos,Braga,Portugal,41.53699719999999,-8.627731
79310167,2019,Tahia Devisscher,,,,,,
79310167,2019,Cecil C. Konijnendijk,,,,,,
79310167,2019,Lorien Nesbitt,,,,,,
79310167,2019,Jennifer Lenhart,,,,,,
79310167,2019,Fabio Salbitano,,,,,,
79310167,2019,Zhaohua Cheng,,,,,,
79310167,2019,Shuaib Lwasa,,,,,,
79310167,2019,Matilda van den Bosch,,,,,,
87028269,2019,Batara Surya,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
87028269,2019,Haeruddin Saleh,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
87028269,2019,Herminawaty Abubaka,Universitas Bosowa,Makassar,South Sulawesi,Indonesia,-5.1387363,119.4435505
69620908,2019,Richard Knowles,,,,,,
69620908,2019,Fiona Ferbrache,,,,,,
41771741,2019,Yu-Ra Lim,Hankuk University of Foreign Studies,,Seoul,South Korea,37.5974453,127.0588002
41771741,2019,Dong-uk Im,Hankuk University of Foreign Studies,,Seoul,South Korea,37.5974453,127.0588002
41771741,2019,Jongoh Lee,Hankuk University of Foreign Studies,,Seoul,South Korea,37.5974453,127.0588002
13687029,2019,Sudipta Kiran Sarkar,Woosong University,,Daejeon,South Korea,36.3344412,127.451952
13687029,2019,Michail Toanoglou,Woosong University,,Daejeon,South Korea,36.3344412,127.451952
13687029,2019,Babu George,Fort Hays State University,Hays,Kansas,United States,38.8714463,-99.3444887
75516766,2019,William L. Swann,University of Colorado Denver,Denver,Colorado,United States,39.7463596,-105.002342
75516766,2019,Shelley McMullen,University of Colorado Denver,Denver,Colorado,United States,39.7463596,-105.002342
75516766,2019,Dan Graeve,University of Colorado Denver,Denver,Colorado,United States,39.7463596,-105.002342
75516766,2019,Seo Young Kim,University of Colorado Denver,Denver,Colorado,United States,39.7463596,-105.002342
99930026,2019,Kai Neumann,,,,,,
56010256,2019,Paramita Rahayu,Sebelas Maret University,,Jawa Tengah,Indonesia,-7.559627399999999,110.8563805
56010256,2019,Erma Fitria Rini,Sebelas Maret University,,Jawa Tengah,Indonesia,-7.559627399999999,110.8563805
23846327,2019,Toshio Nakajima,Japan Real Estate Institute,Nagawa,Nagano,Japan,36.204824,138.252924
23846327,2019,Motohiko Umeyama,Tokyo Metropolitan University,八王子市,東京都,Japan,35.6172487,139.3771559
